Date,Open,High,Low,Close,Volume,Adj Close
1999-05-06,7619.44,7664.89,7545.33,7560.05,000,7560.05
1999-05-05,7594.28,7644.45,7554.19,7572.16,000,7572.16
1999-05-04,7433.52,7588.04,7433.52,7588.04,000,7588.04
1999-05-03,7393.58,7403.68,7312.47,7383.26,000,7383.26
1999-04-30,7265.01,7372.98,7209.51,7371.17,000,7371.17
1999-04-29,7412.18,7436.22,7274.21,7289.62,000,7289.62
1999-04-28,7559.70,7579.99,7479.99,7496.61,000,7496.61
1999-04-27,7656.89,7668.82,7521.84,7550.13,000,7550.13
1999-04-26,7652.05,7665.29,7563.35,7629.09,000,7629.09
1999-04-23,7561.35,7659.59,7561.35,7612.80,000,7612.80
1999-04-22,7515.11,7548.46,7444.57,7494.60,000,7494.60
1999-04-21,7684.90,7706.01,7452.34,7474.16,000,7474.16
1999-04-20,7587.32,7674.84,7537.25,7627.74,000,7627.74
1999-04-19,7609.00,7685.14,7609.00,7623.18,000,7623.18
1999-04-16,7529.47,7594.45,7414.62,7466.82,000,7466.82
1999-04-15,7417.14,7498.17,7339.48,7498.17,000,7498.17
1999-04-14,7366.44,7448.65,7366.44,7398.65,000,7398.65
1999-04-13,7281.74,7344.63,7279.04,7337.85,000,7337.85
1999-04-12,7278.53,7306.55,7188.92,7242.40,000,7242.40
1999-04-09,7331.08,7384.98,7260.38,7265.70,000,7265.70
1999-04-08,7193.57,7316.16,7193.57,7273.41,000,7273.41
1999-04-07,7178.00,7190.57,7110.38,7135.89,000,7135.89
1999-04-06,7232.46,7245.68,7157.00,7163.99,000,7163.99
1999-04-02,7070.32,7232.51,7070.32,7232.51,000,7232.51
1999-04-01,6876.20,7018.68,6875.67,7018.68,000,7018.68
1999-03-31,6894.64,6937.14,6834.33,6881.72,000,6881.72
1999-03-30,6965.99,6968.48,6828.99,6898.66,000,6898.66
1999-03-29,7057.17,7062.90,6898.44,6901.68,000,6901.68
1999-03-26,7004.46,7059.45,6971.55,7033.25,000,7033.25
1999-03-25,6929.67,6969.37,6878.22,6941.38,000,6941.38
1999-03-24,6873.47,6933.01,6844.09,6889.42,000,6889.42
1999-03-23,7107.20,7133.03,6937.73,6945.48,000,6945.48
1999-03-22,7009.05,7064.34,6976.73,7043.23,000,7043.23
1999-03-19,6934.58,7023.57,6914.19,6997.29,000,6997.29
1999-03-18,6795.41,6895.01,6785.96,6895.01,000,6895.01
1999-03-17,6724.49,6808.40,6702.67,6757.07,000,6757.07
1999-03-16,6644.53,6722.30,6616.64,6672.23,000,6672.23
1999-03-15,6474.00,6598.32,6440.94,6598.32,000,6598.32
1999-03-12,6447.07,6472.63,6412.47,6462.73,000,6462.73
1999-03-11,6507.15,6537.35,6430.55,6436.80,000,6436.80
1999-03-10,6495.14,6519.27,6458.30,6486.61,000,6486.61
1999-03-09,6448.13,6535.15,6447.41,6493.43,000,6493.43
1999-03-08,6441.13,6444.48,6386.28,6431.96,000,6431.96
1999-03-05,6430.55,6460.74,6333.26,6383.09,000,6383.09
1999-03-04,6444.51,6468.85,6384.19,6393.74,000,6393.74
1999-03-03,6261.30,6421.31,6257.02,6403.14,000,6403.14
1999-03-02,6312.71,6343.30,6227.34,6263.54,000,6263.54
1999-03-01,6328.22,6351.69,6275.81,6312.25,000,6312.25
1999-02-26,6272.11,6318.52,6224.44,6318.52,000,6318.52
